[2024-10-12T11:36:12.792+0800] Target occupancy update: old: 0B, new: 134217728B
[2024-10-12T11:36:21.681+0800] GC(69) Adaptive IHOP information (value update), threshold: 112069310B (98.23), internal target occupancy: 114085068B, occupancy: 121326144B, additional buffer size: 0B, predicted old gen allocation rate: 4751946.29B/s, predicted marking phase length: 424.20ms, prediction active: true
[2024-10-12T11:36:22.016+0800] GC(74) Basic information (value update), threshold: 105847810B (78.86), target occupancy: 134217728B, current occupancy: 85384280B, recent allocation size: 0B, recent allocation duration: 396.94ms, recent old gen allocation rate: 0.00B/s, recent marking phase length: 215.60ms
[2024-10-12T11:36:22.016+0800] GC(74) Adaptive IHOP information (value update), threshold: 105847810B (92.78), internal target occupancy: 114085068B, occupancy: 85384280B, additional buffer size: 6291456B, predicted old gen allocation rate: 4587033.98B/s, predicted marking phase length: 424.20ms, prediction active: true
[2024-10-12T11:36:22.121+0800] GC(75) Basic information (value update), threshold: 105914610B (78.91), target occupancy: 134217728B, current occupancy: 89811544B, recent allocation size: 4128B, recent allocation duration: 103.42ms, recent old gen allocation rate: 39915.16B/s, recent marking phase length: 215.60ms
[2024-10-12T11:36:22.121+0800] GC(75) Adaptive IHOP information (value update), threshold: 105914610B (92.84), internal target occupancy: 114085068B, occupancy: 89811544B, additional buffer size: 6291456B, predicted old gen allocation rate: 4429559.36B/s, predicted marking phase length: 424.20ms, prediction active: true
[2024-10-12T11:36:22.224+0800] GC(76) Basic information (value update), threshold: 105978664B (78.96), target occupancy: 134217728B, current occupancy: 93772888B, recent allocation size: 6192B, recent allocation duration: 102.61ms, recent old gen allocation rate: 60346.39B/s, recent marking phase length: 215.60ms
[2024-10-12T11:36:22.225+0800] GC(76) Adaptive IHOP information (value update), threshold: 105978664B (92.89), internal target occupancy: 114085068B, occupancy: 93772888B, additional buffer size: 6291456B, predicted old gen allocation rate: 4278558.29B/s, predicted marking phase length: 424.20ms, prediction active: true
[2024-10-12T11:36:22.329+0800] GC(77) Basic information (value update), threshold: 106040402B (79.01), target occupancy: 134217728B, current occupancy: 97967192B, recent allocation size: 6192B, recent allocation duration: 103.33ms, recent old gen allocation rate: 59926.06B/s, recent marking phase length: 215.60ms
[2024-10-12T11:36:22.329+0800] GC(77) Adaptive IHOP information (value update), threshold: 106040402B (92.95), internal target occupancy: 114085068B, occupancy: 97967192B, additional buffer size: 6291456B, predicted old gen allocation rate: 4133015.84B/s, predicted marking phase length: 424.20ms, prediction active: true
[2024-10-12T11:36:22.485+0800] GC(79) Basic information (value update), threshold: 112391675B (83.74), target occupancy: 134217728B, current occupancy: 100064344B, recent allocation size: 6192B, recent allocation duration: 152.74ms, recent old gen allocation rate: 40540.05B/s, recent marking phase length: 215.60ms
